"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"NO.6684","3.7","1.5","3.6","2.4","2.1","4.8","3.9","2.9","0.9","0.8","0.4","0.3","0.4","0.6","1.1","1","0.3","1.7","1.3","1.4","1","1.1","1.3","0.9"
"NO.6685","3.2","1.1","1.9","4","3.9","4","3.4","2.8","0.8","1.1","0.7","0.5","0.5","0.7","0.9","0.5","0.5","1.1","1.4","1.3","0.7","0.9","1","0.8"
"NO.6686","2.6","2.7","2.3","3.8","3.7","1.8","1.8","2.2","2","0.5","0.7","0.5","0.5","0.6","1","0.4","0.5","1.1","1.2","1.1","0.6","0.8","1","0.7"
"NO.6687","2.7","1.8","1.3","3.6","3.7","3.6","2.9","3","0.9","0.6","0.2","0.2","0.3","0.3","0.3","0.6","0.7","1.2","1.3","1","0.4","1","0.8","0.5"
"NO.6688","2.6","1.4","1.2","2.9","3.9","3.2","2.9","1.7","0.5","0.6","0.4","0.2","0.3","0.3","0.5","0.7","0.3","0.8","0.9","0.8","0.3","0.7","0.7","0.6"
"NO.6691","2.1","1.8","1.6","1.5","1.3","2","1.8","2.7","1","3.4","2.7","0.8","0.7","0.2","0.2","0.6","0.5","1.1","1.3","0.8","0.5","0.8","0.8","0.7"
"NO.6693","4.1","1.7","1","0.7","2.2","4.7","4.3","4","2.9","1.1","0.9","0.8","0.6","0.8","0.7","0.9","1.7","1.6","1","0.5","0.4","1","1.2","0.5"
"NO.6694","1.5","1","3.5","3.6","3.1","3.3","2.3","0.6","0.8","0.2","0.4","0.1","0.2","0.5","0.7","0.3","0.4","1.4","1","0.9","0.4","0.7","0.9","0.6"
"NO.6695","7.3","4.8","5.5","3.1","0.5","0.5","1.6","0.7","0.5","0.3","0.2","0.6","0.9","0.4","1.3","1","0.5","1","0.2","0.6","0.7","1.2","0.4","0.3"
"NO.6697","2.9","0.6","0.8","1.3","2","2.3","3.6","1.4","0.7","0.5","0.5","0.2","0.4","0.7","0.8","0.2","0.7","1.7","1.8","1.5","0.5","1.2","1.6","0.9"
"NO.6699","0.8","1.3","2","0.7","1.4","1.6","2","2","0.7","0.4","0.4","0.3","0.4","1.3","0.5","0.4","1.7","2.2","1.2","0.6","0.9","0.8","0.6","0.4"
"NO.69","1.9","1","2.5","2.9","2.9","1.8","1.8","1","1","0.8","1.3","0.6","0.7","0.2","0.9","1.3","1.6","1","0.9","0.8","0.3","0.3","1.1","0.7"
